TropicosName,Name_in_tree,Voucher ,Paramo,ObservedMicrohabitat,Altitude,LPF_1,LPF_2,LPF_3,LPF_4,LPF_mean,Pina_1,Pina_2,Pina_3,Pina_mean
Jamesonia canescens,Jamesonia_canescens_352,PS 352,1,0,2590,190,150,120,NA,153.3333333,0.3,0.32,0.28,0.3
Jamesonia caracasana,Eriosorus caracasanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia ceracea,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia chiapensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia cinnamomea,Jamesonia_cinnamomea_304,PS 304,1,0,3745,45,56,NA,NA,50.5,0.4,0.4,NA,0.4
Jamesonia cuatrecasasii,Jamesonia_cuatrecasasii_2708,HC2708,1,0,3800,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia feei,Eriosorus feei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia glaziovii,Eriosorus glaziovii ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia goudotii,Jamesonia_goudotii_11568,BR11568,1,0,4000,210,215,220,NA,215,0.3,0.3,0.3,0.3
Jamesonia goudotii,Jamesonia_goudotii_294,PS 294,1,0,3496,74,80,150,100,101,0.25,0.27,NA,0.26
Jamesonia goudotii,Jamesonia_goudotii_300,PS 300,1,0,3246,96,105,70,NA,90.33333333,0.4,0.4,NA,0.4
Jamesonia goudotii,Jamesonia_goudotii_305,PS 305,1,0,3745,123,130,160,NA,137.6666667,0.4,0.35,0.4,0.383333333
Jamesonia goudotii,Jamesonia_goudotii_311,PS 311,1,0,3810,87,160,NA,NA,123.5,0.35,0.4,NA,0.25
Jamesonia goudotii,Jamesonia_imbricata_4068,BL 4068,1,0,4050,NA,NA,NA,NA,NA,0.2,0.25,NA,0.225
Jamesonia imbricata,Jamesonia_imbricata_229,PS 229,1,0,3500,96,102,76,NA,91.33333333,0.4,0.4,NA,0.4
